Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"System.Web.HttpUtility.HtmlEncode(object)",17,0.00,0.00,0.02,0.02,"System.Web.dll",
"ASP.views_shared_site_master.FrameworkInitialize()",2,0.04,0.00,3.82,0.15,"App_Web_mqahmqy2.dll",
"Resources.Global.get_TitleLogOn()",1,0.48,0.00,101.87,0.29,"SmsFeedback_Take4.dll",
"System.Web.UI.Page.set_Title(string)",1,0.00,0.00,0.29,0.29,"System.Web.dll",
"System.Linq.Enumerable.Range(int32,int32)",1,0.00,0.00,0.29,0.29,"System.Core.dll",
"System.Web.UI.Page.get_Server()",1,0.00,0.00,0.28,0.28,"System.Web.dll",
"System.Web.HttpResponseBase.set_BufferOutput(bool)",2,0.00,0.00,0.14,0.14,"System.Web.dll",
"Resources.Global.get_btnNotificationSolve()",2,0.00,0.00,0.14,0.14,"SmsFeedback_Take4.dll",
"System.Web.Mvc.Controller.get_RouteData()",39,0.00,0.00,0.01,0.01,"System.Web.Mvc.dll",
"Resources.Global.get_RepMonth()",1,0.00,0.00,0.28,0.27,"SmsFeedback_Take4.dll",
"System.Web.Mvc.Html.LinkExtensions.ActionLink(class System.Web.Mvc.HtmlHelper,string,string,string)",5,0.00,0.00,0.05,0.05,"System.Web.Mvc.dll",
"System.Web.Mvc.ModelStateDictionary.get_IsValid()",1,0.00,0.00,0.25,0.25,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.TagsController.GetSpecialTags()",1,2.94,0.00,625.63,0.25,"SmsFeedback_Take4.dll",
"Resources.Global.get_RepExportToExcel()",1,0.00,0.00,0.27,0.25,"SmsFeedback_Take4.dll",
"System.Web.Mvc.ViewMasterPage.get_Url()",58,0.00,0.00,0.00,0.00,"System.Web.Mvc.dll",
"System.Web.Mvc.UrlHelper.Content(string)",30,0.00,0.00,0.01,0.01,"System.Web.Mvc.dll",
"ASP.views_reports_index_aspx.__BuildControlContent5(class System.Web.UI.Control)",1,0.00,0.00,0.55,0.25,"App_Web_vvd4tm1l.dll",
"SmsFeedback_Take4.Controllers.ReportsController.PrepareJson(class System.Collections.Generic.List`1<class System.Collections.Generic.Dictionary`2<valuetype System.DateTime,class SmsFeedback_Take4.Models.Helpers.ChartValue>>,string)",1,0.01,0.00,1.71,0.25,"SmsFeedback_Take4.dll",
"System.Collections.Generic.Dictionary`2.GetEnumerator()",2,0.00,0.00,0.12,0.12,"mscorlib.dll",
"SmsFeedback_Take4.Models.AggregateSmsRepository.GetInstance(string)",7,0.00,0.00,0.13,0.03,"SmsFeedback_Take4.dll",
"System.ComponentModel.DataAnnotations.DisplayAttribute.set_ResourceType(class System.Type)",3,0.00,0.00,0.08,0.08,"System.ComponentModel.DataAnnotations.dll",
"VirtCall:<>f__AnonymousType0`2..ctor(!0,!1)",2,0.00,0.00,0.12,0.12,"App_Web_hucenq10.dll",
"System.Web.UI.Page.set_MasterPageFile(string)",1,0.00,0.00,0.23,0.23,"System.Web.dll",
"Resources.Global.get_tabMessages()",2,0.00,0.00,0.12,0.12,"SmsFeedback_Take4.dll",
"System.Web.UI.IParserAccessor.AddParsedSubObject(object)",26,0.00,0.00,0.01,0.01,"System.Web.dll",
"SmsFeedback_Take4.Models.AggregateSmsRepository.GetWorkingPointsPerUser(string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,3.53,0.00,376.58,0.11,"SmsFeedback_Take4.dll",
"Resources.Global.get_accountAuthenticate()",1,0.00,0.00,0.23,0.21,"SmsFeedback_Take4.dll",
"System.Web.Mvc.ViewPage`1.get_ViewData()",3,0.00,0.00,0.07,0.07,"System.Web.Mvc.dll",
"System.Web.UI.Page.AddContentTemplate(string,class System.Web.UI.ITemplate)",5,0.00,0.00,0.04,0.04,"System.Web.dll",
"System.Web.Mvc.UrlHelper.Action(string,string,class System.Web.Routing.RouteValueDictionary)",2,0.00,0.00,0.10,0.10,"System.Web.Mvc.dll",
