Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"System.String.Format(string,object[])",3,0.00,0.00,0.13,0.13,"mscorlib.dll",
"SmsFeedback_Take4.Controllers.WorkingPointsController.WorkingPointsPerUser()",2,3.94,0.00,460.91,0.19,"SmsFeedback_Take4.dll",
"System.Web.Mvc.MvcHtmlString..ctor(string)",93,0.00,0.00,0.00,0.00,"System.Web.Mvc.dll",
"Resources.Global.get_shareOnLinkedin()",1,0.00,0.00,0.38,0.36,"SmsFeedback_Take4.dll",
"System.Web.UI.Control.SetTraceData(object,object)",26,0.00,0.00,0.01,0.01,"System.Web.dll",
"System.Web.Routing.RouteValueDictionary..ctor(class System.Collections.Generic.IDictionary`2<string,object>)",16,0.00,0.00,0.02,0.02,"System.Web.dll",
"System.Web.Mvc.UrlHelper.Action(string,string)",2,0.00,0.00,0.17,0.17,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.ConversationsController.ConversationsList(bool,string[],string[],string,string,valuetype System.Nullable`1<bool>,int32,int32,int32,bool)",1,1.07,0.00,251.32,0.35,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Controllers.ConversationsController.NrOfUnreadConversations(valuetype System.Nullable`1<bool>)",3,1.18,0.00,91.81,0.11,"SmsFeedback_Take4.dll",
"System.Globalization.CultureInfo.CreateSpecificCulture(string)",21,0.00,0.00,0.02,0.02,"mscorlib.dll",
"System.Linq.Expressions.Expression.GreaterThanOrEqual(class System.Linq.Expressions.Expression,class System.Linq.Expressions.Expression,bool,class System.Reflection.MethodInfo)",2,0.00,0.00,0.16,0.16,"System.Core.dll",
"System.Web.HttpUtility.HtmlEncode(object)",34,0.00,0.00,0.01,0.01,"System.Web.dll",
"System.Web.Mvc.UrlHelper.Content(string)",30,0.00,0.00,0.01,0.01,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.TagsController.GetSpecialTags()",1,2.92,0.00,682.15,0.31,"SmsFeedback_Take4.dll",
"System.Web.UI.Page.get_Server()",2,0.00,0.00,0.15,0.15,"System.Web.dll",
"log4net.ILog.Debug(object)",1,0.00,0.00,0.30,0.30,"log4net.dll",
"System.Web.Mvc.Controller.get_RouteData()",48,0.00,0.00,0.01,0.01,"System.Web.Mvc.dll",
"Resources.Global.get_tooltipSendPositiveFeedback()",2,0.00,0.00,0.17,0.15,"SmsFeedback_Take4.dll",
"System.Web.Mvc.UrlHelper.Action(string,string,class System.Web.Routing.RouteValueDictionary)",2,0.00,0.00,0.15,0.15,"System.Web.Mvc.dll",
"ASP.views_account_logon_aspx.FrameworkInitialize()",2,0.06,0.00,6.47,0.15,"App_Web_ps1syksy.dll",
"System.Web.Mvc.ViewMasterPage.get_Url()",58,0.00,0.00,0.01,0.01,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Models.AggregateSmsRepository.GetInstance(string)",7,0.00,0.00,0.16,0.04,"SmsFeedback_Take4.dll",
"System.Collections.Generic.Dictionary`2.GetEnumerator()",4,0.00,0.00,0.07,0.07,"mscorlib.dll",
"ASP.views_shared_site_master.FrameworkInitialize()",2,0.03,0.00,3.36,0.14,"App_Web_t5it0hly.dll",
"System.Web.HttpResponseBase.set_BufferOutput(bool)",2,0.00,0.00,0.14,0.14,"System.Web.dll",
"SmsFeedback_Take4.Models.AggregateSmsRepository.NrOfUnreadConversations(string,class SmsFeedback_EFModels.smsfeedbackEntities)",3,0.61,0.00,47.91,0.09,"SmsFeedback_Take4.dll",
"Resources.Global.get_feedbackSendUsFeedback()",2,0.00,0.00,0.15,0.13,"SmsFeedback_Take4.dll",
"System.Web.UI.Page.set_Title(string)",1,0.00,0.00,0.26,0.26,"System.Web.dll",
"System.Web.Mvc.ViewPage`1.get_ViewData()",3,0.00,0.00,0.08,0.08,"System.Web.Mvc.dll",
"System.Web.UI.Page.set_MasterPageFile(string)",1,0.00,0.00,0.25,0.25,"System.Web.dll",
"Resources.Global.get_TitleLogOn()",2,0.46,0.00,53.43,0.13,"SmsFeedback_Take4.dll",
"System.ComponentModel.DataAnnotations.DisplayAttribute.set_ResourceType(class System.Type)",3,0.00,0.00,0.08,0.08,"System.ComponentModel.DataAnnotations.dll",
"ASP.views_reports_index_aspx.__BuildControlContent5(class System.Web.UI.Control)",1,0.00,0.00,0.49,0.22,"App_Web_iyayvxnr.dll",
"System.ComponentModel.DataAnnotations.DisplayAttribute..ctor()",3,0.00,0.00,0.07,0.07,"System.ComponentModel.DataAnnotations.dll",
"System.Web.UI.Page.AddContentTemplate(string,class System.Web.UI.ITemplate)",5,0.00,0.00,0.04,0.04,"System.Web.dll",
"SmsFeedback_Take4.Models.EFSmsRepository.<>c__DisplayClass17.<GetSpecialTags>b__11(class SmsFeedback_EFModels.Tag)",67,6.51,0.00,22.73,0.00,"SmsFeedback_Take4.dll",
