Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name
"SmsFeedback_Take4.Controllers.ReportsController.GetNewVsReturningClientsChartSource(string,string,string,string,string)",1,2.19,0,"1,260.82",0.61,SmsFeedback_Take4.dll
System.Linq.Enumerable.ToArray(class System.Collections.Generic.IEnumerable`1<!!0>),3,0,0,0.2,0.2,System.Core.dll
System.Web.UI.Page.FrameworkInitialize(),1,0,0,0.57,0.57,System.Web.dll
"SmsFeedback_Take4.Models.EFSmsRepository.GetConversationsForNumber(bool,string[],string,valuetype System.Nullable`1<valuetype System.DateTime>,valuetype System.Nullable`1<valuetype System.DateTime>,bool,int32,int32,valuetype System.Nullable`1<valuetype System.DateTime>,string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,0.33,0,95.47,0.27,SmsFeedback_Take4.dll
"System.Linq.Enumerable.GroupBy(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,!!1>,class System.Func`2<!!0,!!2>)",52,0,0,0.01,0.01,System.Core.dll
System.Collections.Generic.Dictionary`2.get_Item(!0),210,0,0,0,0,mscorlib.dll
System.Text.RegularExpressions.MatchCollection.get_Count(),66,0,0,0.01,0.01,System.dll
"System.Web.Mvc.Controller.RedirectToAction(string,string)",1,0,0,0.51,0.51,System.Web.Mvc.dll
"SmsFeedback_Take4.Models.AggregateSmsRepository.GetConversationsForNumbers(bool,string[],string[],valuetype System.Nullable`1<valuetype System.DateTime>,valuetype System.Nullable`1<valuetype System.DateTime>,bool,int32,int32,valuetype System.Nullable`1<valuetype System.DateTime>,string,bool,class SmsFeedback_EFModels.smsfeedbackEntities)",1,0.46,0,262.79,0.5,SmsFeedback_Take4.dll
System.Web.Mvc.UrlHelper.IsLocalUrl(string),1,0,0,0.48,0.48,System.Web.Mvc.dll
"log4net.ILog.DebugFormat(string,object,object)",2,0,0,0.24,0.24,log4net.dll
SmsFeedback_Take4.MvcApplication..ctor(),6,0,0,0.08,0.08,SmsFeedback_Take4.dll
"System.Web.UI.Control.EndRenderTracing(class System.IO.TextWriter,object)",60,0,0,0.01,0.01,System.Web.dll
"System.Math.Round(float64,int32)",6,0,0,0.08,0.08,mscorlib.dll
System.DateTime.AddYears(int32),44,0,0,0.01,0.01,mscorlib.dll
System.Web.UI.TemplateControl.set_AppRelativeVirtualPath(string),1,0,0,0.44,0.44,System.Web.dll
SmsFeedback_Take4.Controllers.AccountController..ctor(),2,0,0,0.22,0.22,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Models.Helpers.ReportResource..ctor(string,string,class SmsFeedback_Take4.Models.Helpers.ReportResourceOptions,string)",150,0,0,0.01,0,SmsFeedback_Take4.dll
"System.Linq.Expressions.Expression.Lambda(class System.Linq.Expressions.Expression,class System.Linq.Expressions.ParameterExpression[])",6,0,0,0.07,0.07,System.Core.dll
System.IDisposable.Dispose(),1,0,0,0.42,0.42,mscorlib.dll
System.Web.Mvc.GlobalFilters.get_Filters(),1,0,0,0.42,0.42,System.Web.Mvc.dll
"SmsFeedback_Take4.Controllers.ReportsController.GetAvgResponseTimeInfo(string,string,string,string)",1,2.33,0,"1,337.98",0.42,SmsFeedback_Take4.dll
System.Web.UI.Control.SetRenderMethodDelegate(class System.Web.UI.RenderMethod),3,0,0,0.14,0.14,System.Web.dll
"SmsFeedback_Take4.Utilities.ViewExtensionMethods.ImageLink(class System.Web.Mvc.UrlHelper,string,string,string,string,string,object,string)",2,0,0,0.37,0.2,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Controllers.ReportsController.transformDate(valuetype System.DateTime,string)",416,0,0,0,0,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Models.Helpers.SubscriptionSmsStatus..ctor(int32,bool,bool,bool,string)",2,0,0,0.2,0.2,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Controllers.ReportsController.ComputeTotalNoOfClients(valuetype System.DateTime,valuetype System.DateTime,class System.Collections.Generic.IEnumerable`1<class SmsFeedback_EFModels.WorkingPoint>)",6,12.2,0,"1,168.33",0.07,SmsFeedback_Take4.dll
__ASP.FastObjectFactory_app_web_e03r53wt.Create_ASP_views_shared_site_master(),2,0,0,0.37,0.2,App_Web_e03r53wt.dll
"System.Web.UI.Control.SetTraceData(object,object)",26,0,0,0.02,0.02,System.Web.dll
SmsFeedback_Take4.Controllers.TagsController.get_SMSRepository(),1,0,0,1.23,0.39,SmsFeedback_Take4.dll
System.Globalization.DateTimeFormatInfo.get_CurrentInfo(),13,0,0,0.03,0.03,mscorlib.dll
System.Web.UI.LiteralControl..ctor(string),4,0,0,0.09,0.09,System.Web.dll
SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClassef.<ComputeTotalNoOfSms>b__ed(class SmsFeedback_EFModels.Message),816,0,0,0,0,SmsFeedback_Take4.dll
System.Globalization.CultureInfo.CreateSpecificCulture(string),44,0,0,0.01,0.01,mscorlib.dll
ASP.views_account_logon_aspx.__BuildControlTree(class ASP.views_account_logon_aspx),1,0.02,0,10.73,0.35,App_Web_q5vesloz.dll
System.IDisposable.Dispose(),673,0,0,0,0,mscorlib.dll
"SmsFeedback_Take4.Controllers.ReportsController.GetPosNegTransitionsThirdArea(string,string,string,string)",1,4.72,0,"2,710.50",0.34,SmsFeedback_Take4.dll
